症状,草药
17,537 557 559 685 869 985 1039 1054 1084 1093 1102 1124
227,559 642 685 869 980 1000 1039 1094 1144
41 139 252 314,445 559 565 642 789 869 1000 1008 1039
227,445 509 549 559 685 759 869 980 1000 1144
115,528 532 951
316,440
13,393 422 473 551 591 731 771 789 808 825 1164 1194
252,445 771 808 825
98,411 788 1125 1199
23,1036
13,528 565 789 808 833 1102
9,528 668 671 732 813 850 1182
305,422 473 565 566 637
53,425 537 833 985 1093 1124 1184
26,425 528 549 750 947 985 1093 1102 1184
53 243,1134
261,656 764 790 1194
184,720 1194
240,442 461 764 1188
335,759 760
23 83,947 1096
133,430 785 1159
341,1093
197,411 1062
210 335,650 764 833
238 305 349,442 564 637 659 1118
115 190 211 353 357,478 572 760 951 1088
46,834 1039 1088 1143
23,813 894 897 947
5 348,657 947 955 1163 1182
341,528 632 672 717 776 786 947 955 1182
233 337 341,671 1148
211,951 1093
247,528 581 947
53,425 537 833 985 1093 1124 1184
167,514
314,947
155 184,413 722 944
161,894 897 1042
276,537 718 1011 1124
356,771
211,951 1093
23,657 946 1099 1163
167,423 907 973
276,537 718 1011 1124
341,408 419 442 537 672 833 1124
341,393 407 408 411 413 442 480 528 537 672 813 859 1069 1124
341,442 528 537 924 1093 1119 1124
341,442
99,419 442 528 537 717 833 924 1026 1119 1124
341,442 530 537 767 925 949 1124
341,413 442 537 813 947 1069 1124
341,442
341,442 449
293,1057
229,705 707 829 841 951
214,461 528 558 947 982 1182
243,422 425 473 528 650 656 668 705 813 951 979 1102
37,403
133,558 598 805 1179
247,810 944
93 298,528 750
83,637
15,637
15,404 411
371,546 639 661
8,572 668
211,425 528 549 758 813 947 1084 1093 1141 1148
357,720 876 947 1150
197,528 633 720 876 982 1062 1163
147,413 497 514 591 852 951 1093 1159
138 178 211,449 1107
371,546 639 661
200,674 732 811 952 1182 1184
254,403 409 454 478 574 716 765 874 1020
305,425 449 473 528 582 637 650 672 813 1067 1159
167,422 425 449 528 633 637 813 1002 1067 1093
40 178 297 308,425 449 528 549 661 813 853 947 1067 1106
41 184 261 341,419 528 549 564 823 853 935 947 985 1026 1067 1106 1107
378,422 478 528 637 650 764 788 813 935 947 1188 1199
184,528 731 813 929 947 951 985 1067 1093 1119
73 184 228 305,528 672 1002 1093 1119 1144 1159 1184
99 122 161 178 357,528 549 633 668 732 868 947 1093 1188
98,449 521 528 633 732 952 1002 1093 1141
200,674 732 811 952 1182 1184
227,443 445 559 685 689 816 1039
305,442 528 637 671 764 813 935 1148
161 229 305 341,422 425 478 528 637 650 668 764 813 941 947 951 1093 1148
335,528 637 650 732 764 813 947 998 1150
21,425 473 528 572 813 833 1093 1136 1188
141 261,393 434 637 764 771 816 860 935 973 1182
36,393 422 473 771 823 944 1019 1102 1117
34,425 497 528 637 650 656 668 764 790 813 947 951 1178 1188
138 335,537 572 642 644 947 951 1124 1136
92 178 211 325,425 468 528 532 549 560 574 612 731 748 759 771 813 911 929 1000 1067 1084 1093 1144 1184
141 148 172 325,422 478 528 637 646 650 701 764 813 924 935 947 951 1093 1136 1144 1188
83 184,422 425 528 572 637 650 705 764 813 951 1096
178 184 211 323,425 528 759 813
211,528 572 574 637 759 813 823 833 947 985 1093 1096 1112 1136
21,549 759 830 1141
210,407 413
12,838
133,775 1194
279,494 498 503 668 732 841 842 888 941 947 951 1000 1115 1188
161,413 528 565 572 642 672 786 813 825 947 1069 1093 1136 1194
161 178,408 413 528 565 572 642 672 786 813 825 850 947 990 1069 1093 1096 1194
161 297,461 572 642 644 732 813 833 944 1062 1093 1148
341,478 494 528 549 560 582 650 731 787 951 1054 1093 1102 1170 1184
172 209 317,425 528 574 813 947 1112
314 335,422 457 582 650 947 1184
341,951 1188
139 314,498 637 656 706 732 935
139 314,433 535 668 689 788 897 926 947 951 1096 1148 1184 1199
34 341,528 582 637 650 672 701 786 813 924 935 947 979 1102 1136 1144 1188
197,478 897 947 951 1150 1182
298 357,408 422 473 528 637 650 947
23,478 626 876 951 1150
178 211 378,422 425 428 528 637 764 813 882 947 1136 1184
33,425 528 947
172 325,440 813 947 951
200,528 637 650 672 813 1141
200,422 528 813 947 1093
178,440 449 473 813 1093 1143 1152
34 214,528 672 732 813 947 998 1136 1141 1148
208,528 637 668 813 947 994
298,528 813 947 1143
211,449 480 574 612 731 813 859 947 1067 1093
19,528 813 1002
341,419 528 537 549 646 786 813 1026 1124 1143 1148 1188
99,572 731 759 951
178,425 650 748 759 1096
318,425 449 528 572 582 650 759 813 1067
56,528 759 813
211,748 759 812
200,442 509 559 582 600 637 650 665 685 897
12,596
93,413
178 211,494 528 572 789 882 1067
227,585 621 838
211,637 642 869
239,642 748 805 995 1036 1144
211,408 528 633 642 725
211,408 528 633 642 725
9 374,500 574 612 690 759 1000 1144
132,478 626 668 788 897 947 1150 1199
197,478 626 657 897 947 1150 1163
264 335,574 607 612 998 1084 1144 1200
264 335,574 607 612 998 1084 1144 1200
229,422 425 564 637 705 985
155 344,662 689 813 816 1102 1170
155 344,662 689 813 816 1102 1170
214,442 528 633 650 813 868 947 1052 1109
133,528 572 771 813
23 124 297 325,528 813 833 947 1159
40,732 813 823 947 1102 1132 1148 1175
37 141,425 528 686 813 823 947 994 1148
341,425 478 528 572 813 947 1093 1188
341,419 528 672 758 776 786 813 947 982 1143 1159
327,408 425 528 565 633 813 951 1093 1188
155 305,425 528 572 582 650 813 1143
92 161 178 211,425 477 478 528 572 637 650 759 764 813 897 947 1184
34 341,514 528 537 620 776 813 1124 1143
200,521 813 1141
155 214 261,478 813 897 947 951 1150
190 214 353,425 650 764 813 947
357,425 813 947 1150
297,425 528 764 813 947 951
155 184,528 650 672 764 813 947 1143 1144
208 308,642 813
193,393 409 424 764
344,425 473 549 662 689 813 816 1007 1067 1093
156 208 305,425 528 558 574 612 748 813 947 951 1067 1136 1143 1144
92,429 468 477 528 560 813 1144
99,419 425 549 813 947 982 1079 1144 1150 1163 1182
34,419 422 425 528 637 650 671 764 771 786 813 924 1000 1026 1093 1136 1144
223,473 813 1134
23,657 813 1163
167,422 473 497 662 689 813 816 951 1102 1170
15,1088
84,528
344,838 869 1088
32 200 372,411 951 1184
167,423 907 973
200,629 688
211 335,572 759
252,812 903
200,629 688
214,528 642 650 833 1148
200,411
261,528 558 642 657 720 748 1150 1163
8 76 305 349,668 1109
66,473 642 833 1019
76,760 771
227,528 642
50 341,450 528 672 765 786 833 1159
147,613
12,629
12,407 514
99 197,642 748 929 938 970 982 990 995 1150 1184
211 305,425 528 549 947 985 1093
335,425 532 829 985 1067 1096
92,425 478 530 549 732 764 767 925 985 1136 1159
200,411
77,838 1175
165,440 442 564 620 671 672 732 786 1148 1150
172,440 701
141 261,935 955 1182
210 341,393 408 419 442 528 537 862 955 1124 1141 1159 1182 1187
5,657 947 955 1163 1182
5,442 528 671 672 772 801 956 1124 1148 1194
228 305,407 771 823
165 200 357,440 449 528 650 722 951 998 1052
348,642
84,442 671 1148
5,425 478 894 897 914 947 1200
341,419 442 528 549 633 717 833 947 1026 1188 1194
172 308 341,442 461 537 776 786 862 914 946 1099 1124 1148
341,442 671 813 949 1148
5 172 341,442 528 637 671 672 725 765 813 1019 1148
211 305,425 528 549 947 985 1093
335,425 532 829 985 1067 1096
141 148,558 1109 1179
227,834 1057
77,838 1175
44 92 178,532 633 692
21 23 178 211 341,528 947 985 1067 1093
92,468 532 549 633 692 929 947 985 1067 1084 1093
335,528 549 947 1067 1093
341,422 528 549 565 637 646 764 813 947 1093 1188
335,771 985 1184
21,528 672 947 1093 1141 1159
178 211,528 633 706 947 1093 1119
133,408 473 549 633 662 672 747 752 771 833 947 1093 1140
211,425 549 813 947 1093
274,528 706 947 1093
195,425 449 985
84,442 671 1148
341,419 442 528 549 633 717 833 947 1026 1188 1194
247,528 581 637 736 810 947
261,440 528 564 657 876 947 1150 1163 1182
319,580
141 148,558 1109 1179
227,834 1057
44 92 178,532 633 692
92,468 532 549 633 692 929 947 985 1067 1084 1093
12,1194
341,422 528 549 565 637 646 764 813 947 1093 1188
133,408 473 549 633 662 672 747 752 771 833 947 1093 1140
211,425 549 813 947 1093
239 341,597 598 759 1039
92 211 325,478 494 528 572 574 612 748 759 1084 1144
139 314,514 548 565 566 572 597 607 731 759 771 933 1039 1094 1096
314,425 558 564 650 764 771 912 1184
139 314,425 564 764 1184
41,731 947 1031 1067 1178 1195
34 152,440 947
12,1194
279,393 422 477 528 574 612 637 650 672 701 748 764 771 813 868 924 947 959 1000 1136 1144 1148 1159
92 144,425 433 449 478 497 528 532 549 577 638 716 759 812 813 947 951 1000 1067 1079 1084 1144 1200
314,425 558 564 650 764 771 912 1184
248 252 305 335,413 419 642 966 1074
279 311,411 422 449 477 637 650 668 771 788 1102 1109 1199
7 98,467 528 549 947 1093
229,390 535 626 673 783 882 951 1036 1096 1144 1184
56 138 139 293 314,425 457 566 572 582 626 637 650 656 668 748 771 788 790 813 831 947 951 998 1084 1102 1144 1150 1188 1199
124 142 378,422 478 528 549 637 646 650 672 701 748 758 764 794 813 924 929 935 947 1054 1093 1136 1144 1188
195,558 725
341,537 672 1124 1143
92 178 195 211,449 558
99,642 869 938 970 990 1016 1150
93,497 572 591 689 789 813 816 951 1093
200,458 467 569 673 1109 1135
92 144,425 433 449 478 497 528 532 549 577 638 716 759 812 813 947 951 1000 1067 1079 1084 1144 1200
385,422 425 528 764 813 831 1002 1084
193,411 510 1135
200 211,446 642 664 788 1125 1199
200,446 639 642 664 1125
32 165 200,393 411 629 961 1135
56 138 139 293 314,425 457 566 572 582 626 637 650 656 668 748 771 788 790 813 831 947 951 998 1084 1102 1144 1150 1188 1199
275 322,448 478 528 549 572 672 789 951 985 1035 1102
142,422 549 558 560 574 637 748 787 813 911 934 935 951 1084 1137 1144 1184
142,422 477 549 560 574 608 748 759 787 911 934 951 1084 1137 1144 1184
247,445 559 599 613 637 685 759 771 838 844 1088
144,457 535 577 746 829 882 941 951 1144
23 223,478 626 668 788 841 897 947 951 1150 1188 1199
34 142,478 498 572 607 732 951 1067
193,490 656 668 897 941 947 951 1184
9,425 440 637 705 732 764 813 831 897 947 998
12,559 564 585 665 685 771 833 838 1029
5 23 99,938 970 990
156,834
142,422 549 558 560 574 637 748 787 813 911 934 935 951 1084 1137 1144 1184
23,818
184,422 425 528 637 672 764 947 952 1002
161,425 528 672 853 897 947 1084 1188
12,442 528 637 650 671 764 788 813 935 1148 1199
5 99,394 419 445 592 644 748 869 938 970 990 1026 1150
100 144 335,428 549 759 882 1000 1054 1144 1150 1184
335,560 748 947 1000 1094 1159
133,413 419 422 445 514 537 539 548 559 565 566 592 637 650 685 731 759 771 794 823 838 905 933 982 1000 1011 1039 1067 1069 1088 1124 1132 1144 1170 1196
227,509 759 933 1000
227,443 445 559 685 689 816 1039
348,445 558 559 564 599 696 833 944 1091
268,445 461 760 984 985 1039 1088 1166
228 305 341,422 528 549 582 650 771 823 951 1143 1184
167,393 422 425 473 528 549 565 633 637 650 689 771 808 924 947 985 1093 1102 1184 1194
214 261,409 422 582 672 752 982 1079
313,411 445 558 564 565 626 642 813 833 1143 1150
305,393 422 473 528 662 736 752 771 772 833 956
133,559 637 685 789 808 951 1102 1170
167,425 528 549 560 572 637 813 951 1093 1144 1184
26,422 425 473 478 637 650 668 764 947 951
211 231,449 574 612 731 759 760 1000 1093 1096 1144
335,477 549 560 748 758 787 907 929 1084 1093
359,407 449 473 789 808 985
133 252 305,565 629 716 734 759
359,422 473 637 662 789 808 860 959 1102 1170
335,422 477 685 759 787 869 1000 1144
26,422 425 473 478 637 650 668 764 947 951
293,422 425 528 560 637 764 813 823 1136 1144
18 33 34 308 326 357,422 425 478 528 637 668 764 813 947 1148 1188
359,422 473 637 662 789 808 860 959 1102 1170
335,422 477 685 759 787 869 1000 1144
99,422 425 449 528 637 650 722 764 772 813 947 956 1002
184 357,425 637 656 705 764 813 831 947
293,422 425 528 549 626 637 656 707 813 833 944 1148 1188
200 308 341 349,528 610 764 850 955 1135 1182 1184
308 341,445 528 809 855 947 1000 1091 1159
211 308 341 344,528 809 897 947 1000 1159
268 357,440 442 461 477 787 850 897 998
279,422 425 490 510 637 650 668 764 788 804 813 897 951 994 1046 1184 1199
14 283,393 422 473 528 637 764 813 833 951 1102 1107
12,998
133,462 559 685 996 999 1140
166,527 533 537 734 1124
166,527 533 537 734 1124
211,425 813 894 897 947
12,404 445 558 559 564 665 771 838 874 1011 1117
341,458 673
133,759 785 1039
195,425 558 1119
178,445 748 1093
195,549 558 1093
335,445 1144
335,445 1144
98,461 813 1194
261,442 985 1159
305,528 944
262,685 809
93 229 335,478 637
167 305,423 473 709 973
12,407
227,642
305,640
167 305,509 709
167 305,509 709
23 228,425 473 528 626 637 671 833 947 951 1143
335 356,488 642 745 756 1039 1126 1144 1200
141 261,393 434 637 764 771 816 860 935 973 1182
233 347,419 425 442 528 637 650 672 720 786 813 833 935 947 1026 1136 1194
335,574 612 759
92 178 211 335,425 478 528 560 572 574 612 748 759 813 911 947 1000 1039 1144
178,574 612 759 813 1000
211,574 612 759 812 951
344,951
245,449 759 951
166,559 585 599 685 1047
211,425 433 528 574 716 731 759 813 947 951 1112
92 178 211 335,509 596 759 823 933 1000 1039 1094
318,425 572 637 759 812 813 947 1144
264,477 572 642 759 787 807 869 898 951 980 1008 1036 1076 1091 1144
141,419 528 759 966 1088
155 344,445 497 558 597 598 759 855 934 951 1039 1088 1175 1179
144,425 673 748 759 1144
92 178 245 264,477 478 560 572 642 759 787 869 951 980 1008 1036 1076 1144
335,528 759 812 882
92,537 572 597 759 760 951 1039 1096 1124
92,462 528 572 759 809 813 1093 1159 1188
178,574 612 661 748 759 1093 1144
178 248,759 760 869 873 1039 1144
178 248,759 760 869 873 1039 1144
133,759 1049 1067 1095 1128
344,759 1093
147,598 759 1039
335,574 612 759 760 812 951
178 335,574 608 612 759 869
305 335,478 560 758 759 787 869
211,528 572 731 759 812 1144
217,528 759 771
84 245,458 759
155 305 341,408 425 528 565 759 951 1143
217,514 759 951 1184
318,433 449 637 748 759 813 1067 1096
245,480 759 813 859
211,425 449 528 572 731 759 813 947 1067 1093 1159
211,425 528 532 574 612 637 731 759 813 1112
21 141,574 759 911
211 231,419 482 731 759 813 966
211 231,480 528 759 813 859 947 1039 1107 1144
141 211 231,528 759 813 1148
211,425 449 528 672 759 813 1067
21,528 759 830
21,528 759 830
211,731 759 813
211,759
211,528 572 661 759 947 1144
245,759 760
281,759
305,709 759 771
252,565 574 759 771 808 1112
197,565 759 771 789 808 812 1039
100,425 759 1084
211,425 572 759
305,478 759
211,759 1093
178,574 759
335,559 560 574 612 716 748 759 812 1000 1039 1144
318,537 759 813 842 869 873 947 1093 1124
92 325,537 759 813 842 869 873 947 1093 1124
92 325,574 759 911 1000 1144
211,731 759 951 998
92 178 245 264,425 528 759 853 947 1093 1119
178 211,425 528 532 549 574 577 612 759 813 911 1093 1144
211 325,408 477 574 577 637 650 731 748 759 813 1000 1039 1144 1159 1200
50 305,478 528 551 642 650 759 1067 1096 1143 1200
92,425 433 449 528 572 574 612 672 748 759 771 813 947 1093
56,597 759 874 933 1200
56,574 608 612 685 759
211,425 528 549 560 572 759 813 951
211 335,425 549 560 572 759 771 813 1067
21,425 528 572 759 813 951
335,528 549 560 572 759 813 951 1002
353,759 789 812 951
353,759
21,528 549 731 759 947 1093
19,759 813
92 211,429 450 528 532 572 759 813 1084 1144
92 211,528 661 759 787 1093
83 211 341,572 759 812 1093 1144
83 211 341,425 514 549 560 572 759 947 1093 1144
335,528 759 882
335,758 759 812 869
246 341,528 661 758 813 947 1039 1094
178 211,478 528 574 612 672 759 813 911 947 1084 1144
161,449 478 480 574 612 731 759 760 859 951 1000 1112 1144
335,425 449 528 759 1067 1084
178,429 478 528 731 759
214,425 574 612 759 812 816 1000 1188
211,425 433 449 572 574 650 672 759 764 825 911 985 1067
92 161 178 211 305 341,549 574 612 731 759 813 1093 1144
341 349,565 572 748 759 813 1093
341 349,565 572 748 759 813 1093
211,425 572 759 1093 1119
92 211 341,425 549 759 1093
185 341,408 425 449 528 574 672 748 759 813 911 947 1093 1144
178,425 429 449 528 759 813 1093 1094
178,572 759 951 1093 1184
178,572 759 951 1093 1184
21,549 759 830 1141
40 211,478 720 731 947
211,425 528 549 731 759 813 947 1093
211,425 528 549 731 759 813 947 1093
161 178,528 572 574 612 650 759 787 813 947 985 1067 1096 1144
178 211,425 731 759 813 1000 1093 1144
144,528 572 574 612 759 882 929 1056 1153
144,528 572 574 612 759 882 929 1056 1153
21,528 549 559 731 759 830 882 1000 1067 1084 1093 1144
21,528 549 559 731 759 830 882 1000 1067 1084 1093 1144
21,528 549 759 813 830 947
21,449 759 813 830
211,549 560 759 830
211,549 560 759 830
21,549 572 759 830 882
308,395 396 521 528 759 813 929 947 1093 1148
308,395 396 521 528 759 813 929 947 1093 1148
211,528 564 574 637 759 813 823 985 1002 1096 1112 1136
211,478 549 572 759 947 951 1093 1144
128,494 528 617 759 787 933 951 1084 1144 1184
23,494 528 672 731 787 951 1184
229,758 789 808 860 1008 1054
339,428 442 528 535 882 947 1144 1159
305,422 771 789 808 1093 1194
261 374,458 467 509
67 83 124 141,422 478 642 748 1056 1102 1144 1153
9,671 732 813 935 947
167,497 522 598 816 951
335,477 537 549 560 787 938 1124
335,411 422 637 650 764 1039
275 283 344,591 816 1039 1088 1102 1175
155 305,528 573 672 982 985 1143
84 211,449 558 574 813 911 947 1093 1141
17,412 560 564 642 876 930
335,413 537 1069 1124
34 357,626 668 788 813 897 947 1199
133,558 581 752 810 947
197,478 626 897 951 1150
197,478 626 897 951 1150
357,951
341,528 1067 1093 1136 1143
46 133,478 897 947 1150
341,425 935 949
335,637 764 1144
58 211,408 521 672 813 947 1093 1141
58 211,408 521 672 813 947 1093 1141
190,565 572 650 672 788 833 1067 1199
335,565 572 637 650 672 813 825 833 1067
5,759 785 812 869 1036 1144
93,732 873 903 992 1088
93,732 873 903 992 1088
200 341,442 776 794 934 1148
344,497 662 869 951 1175
211 335 344,478 560 572 574 612 748 869 1144
67 211,445 559 758 903 1091
344,490 498 637 656 860 947
344,689 809 855 885 897 1007 1039 1102 1175
178 211,607 751 809 1000 1039 1088 1175
5 341,403 478 528 770 1184 1194
184 305,407 419 449 473 539 768 924 965
184 305,407 419 449 473 539 768 924 965
210,642 725 823 833 1132
210,642 725 823 833 1132
335,528 558 564 637 650 823
223,668 689 897 947 1150
40 208,500 559 574 612 1000 1055 1144 1200
211,642 748 1088
194,564 598
194,411 514 564 598 1200
283,425
97,419 422 528 833 947 1026 1136
223,422 566 598 716 771 900
227,445 667 834 1039 1047 1175
211,445 478 1039 1117
99 252,522 559 685 1039
99 252,522 608 1039
305,473 581 637 662 860 947
229,413 507 656 661 705 831
184 323,951
139 279 314,760 1088
161,845
172,558
240,442 461 764 1188
308,759 838
335,759 760
115,528 532 951
335,565 642 947 1093 1136
133,430 851 1088 1140
8,510 646
178 211 305,760
115 190 211 353 357,478 572 760 951 1088
139 314,572 760 841 951 1088
56,807 990 1036
93,608 789
356,559
178 211,760 951
235 305,565
133,558 598 805 1179
247,422 558 581 637 947 1179
77,422 558 581 656 947 1178
247,810 944
15,565 1194
332,425 461 528 549 558 560 582 637 650 672 752 765 772 823 833 947 956 1093 1109 1197
211,425 528 549 758 813 947 1084 1093 1141 1148
167,528 549 633 672 717 725 833 947 1093 1144
197,528 549 564 656 657 876 947 982 1093 1148 1159 1163
341,528 549 672 833 947
378,408 528 537 549 672 705 947 1093 1124
305,497 951 1093
37 261,1077 1132
9,1134
167,445 592 642 833 951 995
167,445 592 642 833 951 995
99 142,423 440 672 813 850 869 941 951 973 1052 1093 1194
167,473 527 528 565 637 642 650 813 869 1039 1175
178,425 449 528 813 947 1067 1148
211,449 813
141,425 473 528 537 565 572 582 637 650 813 833 924 951 1124 1143 1170 1194
115,425 813 1067
225,528 572 582 637 650 732 813 833 947 1148 1188
99,413 528 637 701 748 813 1069 1136 1159
335 385,510 528 637 646 705 813
161,424 637 813
155,582 650 813
341,528 565 672 813 947 1093 1159 1188
332,442 813 823 833 1007
341,419 528 537 642 672 725 752 813 833 1019 1026 1124 1159
5 211 317 341,419 528 646 813 946 1026 1093 1099 1143 1188
172 325,528 671 732 813 855 947 998 1148
211,425 449 528 574 813 947 1056 1079 1093 1112 1144 1153
144 335,425 572 574 612 813 897 951 1144
378,408 442 473 528 924 1109 1136
378,408 442 473 528 924 1109 1136
217,919 1039
5 214,393 425 528 637 642 650 1143
341,528 549 946 1099 1188
317 341,422 528 549 672 771 1184
155,497 662 816 951 1039 1102 1143
155,497 662 816 951 1039 1102 1143
341,528 582 642 650 720 725 833 947
335 341,445 689 816 855 869 980 1039 1088
335 341,445 689 816 855 869 980 1039 1088
262,422 473 565 706 813 1088
84 178 211 245,731 759 1144
227,409 559 599 665 667 685 1039 1047 1088
141 178 211,524 1095 1143
184,406 662 880 982 1095
341,419 565 776 786 938
341,646 813
341,478 514 528 540 776
211,425 449 528 548 574 596 731 748 759 813 911 933 997 1000 1039 1067 1093 1112 1144
23,560 574 612 1036
211 245,468 528 549 731 759 933 1054 1084 1184
128,468 528 549 731 759 933 1054 1084 1094 1144 1184
207,572 637 656 662 750 951
115,390 413 528 633 642 1069 1136 1144
67 248,413 642 748 1069 1144 1200
133,445 527 734 785 1039 1088
385,478 528 549 813
228 335,642 720 731 1074 1108 1125
305,528 537 572 951 1102 1124 1143 1151
37,494 498 617 841 868 882 941 947
37,494 498 617 841 868 882 941 947
56 141,408 413 449 519 537 642 947 1069 1113 1124 1136 1199
97,558 869
97,558 869
56 197,556 642 720 944 995 1143 1194
248,760
335,812
200,419 480 537 642 776 786 841 859 982 1026 1124
229 388,409 422 425 428 637 656 705 732 882 897 1144 1170
167,838 843
335,449 637 748 1096 1144
211,720 759 760 1093 1144
264,560 574 608 612 759 911 929 1084 1119 1144
211 305 335,731 1106
211,528 731 951 1184
133,404 1117
115,558 731
335,528 549 951 985 1067 1106 1184
9,1134
335,528 549 1002 1084 1144 1184
155,1094 1144
341,528 549 560 759 1000 1144 1200
32,425 528 537 876 947 1124 1150
305,951
200,419 480 537 642 776 786 841 859 982 1026 1124
211,528 759 1144
229,574 612
335,449 637 748 1096 1144
211,720 759 760 1093 1144
264,560 574 608 612 759 911 929 1084 1119 1144
211 305 335,731 1106
279,478 637 665 759 760 789 808 929 933 951 1000 1039 1084 1144
139 314 335,478 563 565 597 637 759 771 844 888 929 998 1084 1094 1144
200,411
165,440 442 564 620 671 672 732 786 1148 1150
178 223,422 473 528 566 572 591 1095
76,760 771
84,445 559 629 758 903
306,932 1200
5,425 478 894 897 914 947 1200
21,413 551 794 1069
167,760 903
308,425 528 637 650 764 813 833 947 1093 1107 1136
332,497 528 637 672 765 813 833 947 951 1102
211,429 787 807 933 938 970 990 1000 1036 1144
254,403 409 454 478 574 716 765 874 1020
190,425 532 549 558 650 692 897 947 968 1178
167,422 425 449 528 633 637 813 1002 1067 1093
228,408 419 422 537 672 1093 1107 1124 1159
211 308 341 344,528 809 897 947 1000 1159
197,395 396 447 521 528 573 720 725 833 876 982 1062
341,393 425 473 492 528 657 672 720 752 764 772 833 956 982 1136 1163
332,497 528 637 672 765 813 833 947 951 1102
41 73 184 228 323,407 422 449 473 528 549 672 947 985 1002 1093 1102 1159
359,449 473 528 637 650 951 1093 1107 1170
37 76 139 167 193 200 211 314 341,528 642 748 1036
316 335,428 535 569 572 604 882 951
73 184 228 305,528 672 1002 1093 1119 1144 1159 1184
155,409 422 582 637 650 672 752 788 982 1079 1109 1199
56 197,556 642 720 944 995 1143 1194
298,393 473 528 672 816 1019 1125
84,445 559 629 758 903 1091
84,445 559 629 758 903 1091
341,425 497 565 771 874 947 951 1011
341,442 458 467 564 569 673 935 947 949 955 1091 1150 1182
92 178 211 374,445 528 560 731 802 947 949 985 1000 1008 1039 1067 1088 1093 1119 1144 1159 1194
94,393 558 582 637 642 725 1143
38 75,564 637 656 813 860 897 947 955 1182
38 75,564 637 656 813 860 897 947 955 1182
167,445 809 1039 1175
167,445 732 809 1088
224 341,442 528 537 558 701 833 1124 1136
224 341,442 528 537 558 701 833 1124 1136
341,449 528 786 833 1143 1188
341,449 528 786 833 1143 1188
133,409 528 565 771 789 808 874 938 984 990 1093 1140
50 124 305,488 497 514 662 720 816 951 1039 1093
50 124 305,488 497 514 662 720 816 951 1039 1093
359,393 637 789 1039
83,422 497 565 591 662 771 789 808 825 951 1039 1088 1093
83,408 473 528 565 771 813 1102
359,422 473 508 528 572 637 650 732 786 789 813 833 924 1102 1143 1170 1194
14 176 359,425 445 473 528 565 572 626 642 650 671 771 833 850 951 1088 1102 1143 1194
50 83,408 473 528 731 771 813 1102
197,395 396 521 528 720 752 823 876 947 982 1062
